run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
567,.0118175,.0169958,-.0111987,.0080919,-.0007644,.0032254,.0012798,.0165398,.0063613,-.0002059,.0048666,.0158494,-.0005868,-.0007725,.000349,.0000597,.0000355,-.0001059,-.0001828,-.0004898,-.0002395,.0001388,-.000149,-.0004342,.012362,.0604963,-.0007737,-.0016038
568,-.0004543,.0083846,-.0097298,-.0069154,-.0071104,-.0039939,-.0044843,.0024529,-.000858,.0063499,.0018125,.0083343,-.0000613,-.000486,.00034,.0002693,.0001865,.0000159,.0000684,-.0003221,-.0000556,.0001647,-.0000909,-.0002062,-.0208243,.0146124,.0003872,-.0005644
569,.0118835,-.0039899,-.0080016,-.0080634,-.0075185,-.0073729,-.0011839,.0083376,-.001143,.0091836,.0052901,.0106198,-.0004775,-.0001484,.0002554,.0002685,.0001777,.0002499,-.0001127,-.0002924,.0000734,3.56e-06,-.0001818,-.000258,-.0006735,.0087147,-.0002654,-.0001769
570,.0193959,.0113013,-.0062236,-.0029527,-.0020138,-.0221823,.0040791,-.0016043,.0108001,.0037615,.0056283,.0121218,-.0006514,-.0004798,.0003849,.0001224,.0000809,.0004259,-.0002322,-.0001064,-.0001912,.0001451,-.0001342,-.0002581,.031666,.0004452,-.0007431,-.0001509
571,.0158439,.0125025,-.0012427,-.002427,-.0043787,-.0179083,-.0058409,-.0019728,.0019683,.0049675,.0066004,.014449,-.0005532,-.0004756,.0001149,.0001577,.0001239,.0004234,.0001423,-.0000901,.0000608,.000146,-.0001793,-.0003743,.0129503,.009611,-.0002905,-.0002128
572,.0056233,.0160065,-.014388,-.0033109,-.0112766,-.0147336,-.0057349,-.0121752,-.0039482,.0064388,.0109361,.0062564,-.0003994,-.0005525,.0005038,.0002763,.0002828,.0003246,-.0000396,.0001476,.0001775,.000094,-.0004107,-.0003106,-.0187884,-.0015179,.0001144,-.0000206
573,.0057682,.0046779,-.0090695,-.0014884,-.0105288,-.0156601,-.0030126,.0095625,.0024594,-.0070231,-.0007565,.0167549,-.0003089,-.0004575,.0003919,.0000437,.0002444,.0001792,7.10e-06,-.000328,-.000209,.0003806,.0000891,-.0003413,-.0151398,.0068238,.0002146,-.0005233
574,.0109615,.0105447,-.0041162,.0006124,-.0066763,-.0134743,.0011549,-.0085298,-.0027199,.0134679,.0001037,.0082828,-.0005782,-.0003604,.0002139,.0000749,.0001098,.0003217,-.0001334,.0000577,.0001004,.0000669,.0000265,-.0003688,-.0012925,.0109039,-.0002608,-.000208
575,.0003642,.014166,-.0107833,-.0061548,-.0071642,.0030481,-.00177,-.0219434,-.0002153,-.0048419,.0079447,.0084442,-.0000959,-.0005595,.0004507,.0002143,.0002115,-.0001228,.0000661,.0003042,.0000141,.0001656,-.0003123,-.0001329,-.0116238,-.0072817,.0003342,-.000131
576,.0069519,.0063635,-.0121431,-.0040966,-.0058938,-.0107866,-.0039283,.0061229,.0007298,.0067098,.0105455,.0102173,-.0003274,-.0004013,.0004364,.0002219,.0001409,.0001862,-.000018,-.0001891,-.0001414,-.00003,-.0002678,-.0000453,-.003738,.0145304,-.0001773,-.0002576
